Compound	HMDB	Kegg
CPD-162		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02927</a>
CPD-8809		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20159</a>
CPD-10622		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12831</a>
CPD-17683	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04461</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09815</a>
CPD-19317		
A-LIDO-HEX-1:5_6:A		
CPD-4402		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04271</a>
CPD-14834	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB33439</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09592</a>
CPD-25573		
CPD-3441		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16187</a>
CPD-8478	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB62238</a>	
CPD-18736		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21142</a>
CPD-18888		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11243</a>
COPROPORPHYRIN_I	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00643</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05769</a>
CPD-25559		
CPD-25971		
CPD-17160		
CPD-20785		
CPD-21418		
3-METHYLTHIOPROPANALDOXIME		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17241</a>
CPD-24964		
CPD-15963		
CPD-18223		
CPD-7002		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17439</a>
CPD-15280	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB29422</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05575</a>
CPD-20815		
CPD-20404		
CORTOLONE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03128</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05481</a>
CPD-4101	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06846</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11522</a>
CPD-20577		
CPD-18548		
CPD-19401	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02285</a>	
CPD-24958		
CPD-8744	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB36575</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09672</a>
CPD-12310		
L-DELTA1-PYRROLINE_5-CARBOXYLATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01301</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03912</a>
CPD-17426		
CPD-17843		
CPD-14800		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20480</a>
SQUALENE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00256</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00751</a>
