ID	Name	Matches	
RXN-22802	&alpha;,&alpha;-trehalose + 2 an oxidized <i>c</i>-type cytochrome  &rarr;  3'-dehydro-&alpha;,&alpha;-trehalose + 2 a reduced <i>c</i>-type cytochrome + 2 H<SUP>+</SUP>	TREHALOSE, CPD-19569, PROTON	
RXN-22805	&alpha;,&alpha;-trehalose + an oxidized electron carrier  &rarr;  3'-dehydro-&alpha;,&alpha;-trehalose + a reduced two electron carrier	TREHALOSE, CPD-19569, Donor-H2	
TREHALA-RXN	&alpha;,&alpha;-trehalose + H<sub>2</sub>O  &rarr;  &beta;-D-glucopyranose + &alpha;-D-glucopyranose	TREHALOSE, ALPHA-GLUCOSE, GLC, WATER	
RXN-4441	&alpha;,&alpha;-trehalose + phosphate  &harr;  &alpha;-D-glucopyranose + &alpha;-D-glucopyranose 1-phosphate	TREHALOSE, ALPHA-GLUCOSE, GLC-1-P, Pi	
ALPHAALPHA-TREHALOSE-PHOSPHORYLASE-RXN	&alpha;,&alpha;-trehalose + phosphate  &harr;  &beta;-D-glucopyranose 1-phosphate + D-glucopyranose	TREHALOSE, CPD-448, Glucopyranose, Pi	
TREHALOSEPHOSPHA-RXN	&alpha;,&alpha;-trehalose 6-phosphate + H<sub>2</sub>O  &rarr;  &alpha;,&alpha;-trehalose + phosphate	TREHALOSE, TREHALOSE-6P, WATER, Pi	
TRE6PHYDRO-RXN	&alpha;,&alpha;-trehalose 6-phosphate + H<sub>2</sub>O  &rarr;  D-glucopyranose 6-phosphate + D-glucopyranose	TREHALOSE-6P, Glucopyranose, D-glucopyranose-6-phosphate, WATER	
2.4.1.216-RXN	&alpha;,&alpha;-trehalose 6-phosphate + phosphate  &harr;  &beta;-D-glucose 6-phosphate + &beta;-D-glucopyranose 1-phosphate	TREHALOSE-6P, CPD-448, GLC-6-P, Pi	
RXN-21221	&alpha;,&alpha;-trehalose<sub>[extracellular space]</sub> + ATP + H<sub>2</sub>O  &rarr;  &alpha;,&alpha;-trehalose<sub>[cytosol]</sub> + ADP + phosphate + H<SUP>+</SUP>	TREHALOSE, ADP, ATP, WATER, PROTON, Pi	
RXN-16418	&alpha;,&omega;-9<i>Z</i>-octadecenedioate + coenzyme A + ATP  &rarr;  &omega;-carboxy-(9<i>Z</i>)-octadec-9-enoyl-CoA + AMP + diphosphate	OCTADEC-9-ENE-118-DIOIC-ACID, CPD-17624, AMP, ATP, CO-A, PPI	
RXN-22444	&alpha;-1,2-D-mannobiose + H<sub>2</sub>O  &rarr;  2 D-mannopyranose	Alpha-1-2-Mannobiose, D-mannopyranose, WATER	
