Gene Name	Ensembl	GeneCards
G-518		
AT1G20050		
HS13124	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000124370</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>MCEE</a>
AF_RS09720		
G-107830		
G-43795		
YLR395C		
EG11406		
EG10565		
G-124184		
HS04154	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000117594</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>HSD11B1</a>
G-124236		
G185E-4693		
G-17629		
YHR051W		
EG12600		
EG10593		
EG10942		
G6431		
HS05235	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000128951</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>DUT</a>
G-15293		
G-44504		
G-58355		
YPR035W		
G-124459		
EG11065		
G-11231		
G-17804		
G-12262		
STM4473		
YMR205C		
G-10963		
DTC1		
G-63005		
G-124456		
HS07403		
G-81142		
G-58322		
G-11073		
G-44491		
YKL127W		
EG10889		
HS02969	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000107077</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>GASC1</a>
G-58747		
SGL_RS02070		
G-107517		
G-11751		
G-9016		
CHRECP048		
G6571		
EG10943		
G7513		
AT5G42800		
G-17860		
G-12391		
HS05096		
AT2G21790		
G-204		
G-15554		
G-58301		
G6851		
G-58217		
G-10591		
G-11705		
G-10384		
G-15255		
G-14766		
G-27207		
G-5703		
YMR105C		
STM4479		
EG10117		
G-11835		
G-11707		
G-12390		
G-44480		
EG11827		
EG10625		
G-80807		
G-10092		
G-12024		
G-10958		
HS07691	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000150782</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>IL18</a>
G-43866		
G-18030		
G-12799		
SP_RS01710		
G-4403		
G-58810		
HS08108	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000156239</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>N6AMT1</a>
EG10202		
HMPREF1322_RS01465		
G-17795		
G-124432		
AT5G53850		
EG10732		
G-2546		
G-7662		
G-17650		
G6341		
G-12012		
G-44138		
G-80846		
G-44698		
G6092		
G-124284		
AT1G49430		
EG11919		
G-107620		
EG10246		
G-11461		
G-44386		
G7579		
EG10455		
YGR169C		
G-58331		
EG11336		
EG10745		
G-27222		
G-16041		
G-14486		
AT1G30400		
G-17654		
HS10376	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000171766</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>GATM</a>
G3O-33945		
G6575		
G-124364		
G18NG-10711		
G-11898		
EG10067		
G18C3-39		
G-17953		
G-80852		
EG11096		
G-81063		
G-5083		
G-2928		
HS05626		
G-10616		
G-107919		
AT5G17330		
MGI:1306785		
YHR072W		
G6754		
G-43890		
G-10649		
G-241		
G-12283		
HS06949	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000142657</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>PGD</a>
G-11147		
EG10078		
HS00008		
AT4G21540		
G-17775		
G1G01-885		
G6245		
G-15446		
AT1G43710		
EG10279		
G-44197		
AT2G23260		
G-34491		
G-43853		
HS11546	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000180902</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>MGC25181</a>
EG10954		
G-80911		
SCO5082		
G-9010		
G-80868		
EG10205		
EG11893		
G-107937		
HS02693	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000105220</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>GPI</a>
EG10112		
G-11925		
G-44755		
G3O-30657		
BSU10550		
G-55033		
G66-33964	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENST00000347667</a> // <a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENST00000330333</a> // <a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENST00000328735</a>	
AT1G16540		
G6845		
G-17931		
G-58262		
BN159_RS39585		
EG11080		
G8210		
G-10344		
G-15977		
G-12459		
G185E-5362		
G-107885		
EG10869		
G-58854		
G-10354		
G-14892		
G-58347		
HP_RS05420		
