Compound	HMDB	Kegg
CPD-15801		
CPD-14178		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18004</a>
CPD-14829		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21588</a>
CPD-14157		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01555</a>
CPD-14467		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20437</a>
CPD-11598		
NICOTINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01934</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00745</a>
CPD-9833		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16846</a>
CPD-9217	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03236</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06543</a>
CPD-8854		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17757</a>
CPD-8651	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB29842</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08538</a>
CPD-22879		
STREPTOMYCIN	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15214</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00413</a>
CPD-21443		
VALIDAMYCIN-A	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB36592</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12112</a>
CPD-19603		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09553</a>
CPD-18442		
CPD-17885		
CPD-18790	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB36593</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21293</a>
CPD-17389		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C22166</a>
CPD-14219		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17973</a>
CPD-15798		
CPD-14816		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09390</a>
CPD-14464		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20408</a>
CPD-12363	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14834</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C07544</a>
CPD-9951		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16719</a>
CPD-9790		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16707</a>
CPD-9214	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB39353</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10796</a>
CPD-8676		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08542</a>
CPD-22649		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09611</a>
CPD-21276		
CPD-19261		
CPD-18645		
