Gene Name	Ensembl	GeneCards
BN159_RS43105		
G-44072		
EG12044		
G-80859		
G-15340		
G-44185		
G-10256		
EG10690		
G-11734		
G-81125		
HS08788	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000163106</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>PGDS</a>
G-44473		
G7713		
G-8825		
G-9425		
G-122		
G-124197		
G7021		
YLR438W		
G-10745		
G-15474		
G-17608		
EG30069		
G-10396		
G-12747		
G-44605		
G-54979		
EG11921		
G-9585		
G-18005		
G-55110		
G-9956		
EG11177		
G-124301		
G-58288		
G-107561		
G-107805		
EG10454		
G185E-7793		
HS00018		<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>GLUD2</a>
G-17720		
G-14839		
G7641		
G-14483		
G-11047		
G-196		
G-273		
EG12433		
G-58770		
AT2G29980		
G-107915		
G-6862		
EG11779		
HS00935	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000068366</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>FACL4</a>
G-4181		
G-80469		
AT5G26000		
EG11085		
G-14971		
HS03740		
G-11185		
G-80730		
EG10343		
HS04862	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=~A'>ENSG00000125246</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>CLYBL</a>
G-11534		
AT3G19160		
HS07490		
G7452		
G-43788		
G-12047		
ATMG01120		
G-44056		
G6675		
G-80844		
G-15321		
G-44168		
G-10239		
EG11538		
G-11716		
G-81109		
HS08566		<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=~A'>LTC4S</a>
G-44457		
EG10997		
G-864		
SCO2785		
G-12184		
G-9398		
G7422		
YJR137C		
G-124182		
G-15457		
G-107434		
G6488		
G-10378		
G-1662		
G-44586		
G-12731		
EG12207		
G-9559		
G-54961		
G-55084		
G-17991		
EG11372		
G-124288		
G-9939		
G-107546		
G-58272		
EG10943		
