Compound	HMDB	Kegg
CPD-18655		
CPD-10618		
CPD-21169		
CPD-15918		
CPD-13605		
CPD-11791		
CPD-9304	<a href='http://www.hmdb.ca/metabolites/HMDB31636'>HMDB31636</a>	
CPD-10837		
CPD-10604		
LIPID-IV-A		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04919'>C04919</a>
PENTACHLOROPHENOL	<a href='http://www.hmdb.ca/metabolites/HMDB41974'>HMDB41974</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02575'>C02575</a>
CPD-24229		
CPD-20614		
CPD2B4Q-16		
CPD-15726		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20687'>C20687</a>
CPD2DNV-3		
CPD-11787		
CPD-22402		
CPD-8408		
CPD-10866		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14219'>C14219</a>
CPD-21999		
CPD-10660		
CPD-18578		
36-DICHLOROCATECHOL		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07094'>C07094</a>
CPD-18658		
CPD-24354		
CPD-20581		
CPD-8342	<a href='http://www.hmdb.ca/metabolites/HMDB12414'>HMDB12414</a>	
CPD-11238		
CPD-24350		
CPD-8329		
CPD-20566		
CPD-8328	<a href='http://www.hmdb.ca/metabolites/HMDB62771'>HMDB62771</a>	
CPD-10867		
CPD-16393		
S-4-BROMOPHENYL-L-CYSTEINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03900'>C03900</a>
CPD-16394		
CPD-20609		
CPD-16391		
CPD-20557		
CPD-16389		
35-DIBROMO-4-HYDROXY-BENZOATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03925'>C03925</a>
CPD0-1326		
CPD-20602		
CPD-20552		
CPD-24358		
CPD-20594		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21852'>C21852</a>
CPD-20548		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14521'>C14521</a>
CPD-24355		
CPD-244		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02116'>C02116</a>
CPD-20583		
CPD-11246		
CPD-20567		
CPD-16355		
CPD-11213		
CPD-16357		
S-4-BROMOPHENYL-MERCAPTOPYRUVATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04264'>C04264</a>
CPD-8336	<a href='http://www.hmdb.ca/metabolites/HMDB10163'>HMDB10163</a>	
CPD-20610		
CPD-14080		
CPD-20558		
CPD0-1576		
CPD-8273		
CPD-20604		
CPD-8274		
CPD-20553		
CPD-18637		
CPD-20599		
CPD-18636		
CPD-20550		
OXIDIZED-WATASEMIA-LUCIFERIN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03888'>C03888</a>
CPD-24356		
CPD-20265		
CPD-20586		
OXIDIZED-LUCIFERIN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03717'>C03717</a>
CPD-1621		
OXIDIZED-OPLOPHORUS-LUCIFERIN		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15038'>C15038</a>
CPD-24353		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17086'>C17086</a>
CPD-20568		
CPD-21209		
CPD-9457	<a href='http://www.hmdb.ca/metabolites/HMDB60469'>HMDB60469</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17435'>C17435</a>
CPD-20565		
CPD-9454		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17437'>C17437</a>
BROMOBENZENE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11036'>C11036</a>
CPD-10712		
CPD1G-159		
CPD0-1028	<a href='http://www.hmdb.ca/metabolites/HMDB60108'>HMDB60108</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11356'>C11356</a>
CPD-20608		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14843'>C14843</a>
CPD-9455		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17436'>C17436</a>
CPD-20554		
CPD-9452		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04509'>C04509</a>
CPD0-1314		
UNDECAPRENYL-DIPHOSPHATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04574'>C04574</a>
CPD-20600		
CPD-9456		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17434'>C17434</a>
CPD-20551		
CPD-9453	<a href='http://www.hmdb.ca/metabolites/HMDB02367'>HMDB02367</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17438'>C17438</a>
2-BROMOPORPHOBILINOGEN		
CPD-24357		
CPD-16825		
CPD-22281		
CPD-20593		
CPD-16821	<a href='http://www.hmdb.ca/metabolites/HMDB60015'>HMDB60015</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00850'>C00850</a>
CPD-18749	<a href='http://www.hmdb.ca/metabolites/HMDB62397'>HMDB62397</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14453'>C14453</a>
CPD-18654		
CPD-18695		
CHLORALAN-CPD		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02635'>C02635</a>
CPD-18614		
3-CHLORO-D-ALANINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02634'>C02634</a>
CPD-904		
CPD-667		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01077'>C01077</a>
CPD0-1475		
