Gene Name	Ensembl	GeneCards
EG11294		
G66-37895		<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CARNS1'>CARNS1</a>
EG11044		
G-63077		
EG11816		
AT4G34230		
EG10508		
HS03358	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000110955'>ENSG00000110955</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5B'>ATP5B</a>
G7508		
G-12763		
EG11369		
G-379		
G6365		
G-14849		
EG11324		
G-11055		
EG12438		
G-80682		
EG11474		
G-44008		
EG10017		
HS07258	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000145494'>ENSG00000145494</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS6'>NDUFS6</a>
G7582		
G-81049		
G6912		
HS17721		
EG11333		
G-15278		
EG12715		
G-44413		
EG11143		
G-16049		
EG10370		
AT5G40280		
EG11396		
G-9269		
G7423		
G-512		
EG12150		
G-9875		
G6349		
G-11863		
EG10259		
AT1G67740		
EG10261		
G-17936		
G-3721		
G-10275		
EG11673		
G-58216		
EG11374		
G-27171		
EG10682		
G-107429		
HS06361		
G3O-33772		
G-3961		
G-63059		
EG50011		
G-12302		
EG11375		
AT4G30210		
EG10683		
HS03242	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000109610'>ENSG00000109610</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD3'>SOD3</a>
G-3963		
G-12745		
G-3701		
G-371		
EG11493		
G-14833		
EG11138		
G-11033		
G7496		
G-80666		
EG11829		
G-43992		
EG11597		
HS07123	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000143882'>ENSG00000143882</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1C2'>ATP6V1C2</a>
EG10154		
G-81034		
EG11598		
HS11482	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000180316'>ENSG00000180316</a>	
EG11511		
G-15254		
EG11666		
G-44397		
EG11595		
G-16025		
EG10153		
AT5G28840		
G6239		
G-9238		
EG11746		
G-498		
EG10922		
G-9851		
EG10004		
G-11846		
EG11747		
AT1G61120		
EG11190		
G-17920		
EG12312		
G-10253		
EG11675		
G-58200		
EG10691		
G-27152		
EG12693		
G-107412		
EG10693		
G3O-32295		
G0-9461		
G-63044		
EG11309		
G-12287		
M007		
AT4G25080		
G6246		
HS03012	<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000107618'>ENSG00000107618</a>	<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP3'>RBP3</a>
G6234		
G-12729		
EG11589		
G-3601		
EG11585		
G-11015		
G6566		
G-80650		
G6237		
