Name	HMDB	KEGG
Acetoacetic acid	HMDB00060	C00164
Beta-Alanine	HMDB00056	C00099
Creatine	HMDB00064	C00300
Dimethylglycine	HMDB00092	C01026
Fumaric acid	HMDB00134	C00122
Glycine	HMDB00123	C00037
Homocysteine	HMDB00742	C05330
L-Cysteine	HMDB00574	C00097
L-Isoleucine	HMDB00172	C00407
L-Phenylalanine	HMDB00159	C00079
L-Serine	HMDB00187	C00065
L-Threonine	HMDB00167	C00188
L-Tyrosine	HMDB00158	C00082
L-Valine	HMDB00883	C00183
Phenylpyruvic acid	HMDB00205	C00166
Propionic acid	HMDB00237	C00163
Pyruvic acid	HMDB00243	C00022
Sarcosine	HMDB00271	C00213
